#Dt	counts	counts_err
2.1699999999999997e-09	16.0	1.7445157585516142e-07
2.18e-09	14.0	1.757793777016536e-07
2.1899999999999997e-09	9.0	1.7909888231788369e-07
2.2e-09	11.0	1.7777108047139163e-07
2.21e-09	10.0	1.7843498139463763e-07
2.2199999999999998e-09	9.0	1.7909888231788369e-07
2.23e-09	10.0	1.7843498139463763e-07
2.2399999999999997e-09	11.0	1.7777108047139163e-07
2.25e-09	11.0	1.7777108047139163e-07
2.26e-09	19.0	1.724598730854234e-07
2.27e-09	10.0	1.7843498139463763e-07
2.28e-09	8.0	1.7976278324112974e-07
2.2899999999999997e-09	11.0	1.7777108047139163e-07
2.3e-09	9.0	1.7909888231788369e-07
2.3099999999999997e-09	10.0	1.7843498139463763e-07
2.32e-09	13.0	1.7644327862489963e-07
2.33e-09	11.0	1.7777108047139163e-07
2.3399999999999998e-09	14.0	1.757793777016536e-07
2.35e-09	11.0	1.7777108047139163e-07
2.3599999999999997e-09	12.0	1.7710717954814574e-07
2.37e-09	12.0	1.7710717954814574e-07
2.38e-09	10.0	1.7843498139463763e-07
2.39e-09	10.0	1.7843498139463763e-07
2.4e-09	9.0	1.7909888231788369e-07
2.4099999999999997e-09	11.0	1.7777108047139163e-07
2.42e-09	7.0	1.8042668416437577e-07
2.4299999999999997e-09	10.0	1.7843498139463763e-07
2.44e-09	16.0	1.7445157585516142e-07
2.45e-09	5.0	1.817544860108678e-07
2.4599999999999998e-09	7.0	1.8042668416437577e-07
2.47e-09	16.0	1.7445157585516142e-07
2.4799999999999997e-09	13.0	1.7644327862489963e-07
2.49e-09	7.0	1.8042668416437577e-07
2.5e-09	5.0	1.817544860108678e-07
2.51e-09	4.0	1.8241838693411377e-07
2.52e-09	7.0	1.8042668416437577e-07
2.5299999999999997e-09	10.0	1.7843498139463763e-07
2.54e-09	9.0	1.7909888231788369e-07
2.5499999999999997e-09	14.0	1.757793777016536e-07
2.56e-09	13.0	1.7644327862489963e-07
2.57e-09	8.0	1.7976278324112974e-07
2.5799999999999998e-09	8.0	1.7976278324112974e-07
2.59e-09	11.0	1.7777108047139163e-07
2.5999999999999997e-09	6.0	1.810905850876218e-07
2.61e-09	9.0	1.7909888231788369e-07
2.6199999999999996e-09	4.0	1.8241838693411377e-07
2.63e-09	10.0	1.7843498139463763e-07
2.64e-09	7.0	1.8042668416437577e-07
2.6499999999999997e-09	11.0	1.7777108047139163e-07
2.66e-09	4.0	1.8241838693411377e-07
2.6699999999999997e-09	7.0	1.8042668416437577e-07
2.68e-09	7.0	1.8042668416437577e-07
2.69e-09	8.0	1.7976278324112974e-07
2.6999999999999998e-09	12.0	1.7710717954814574e-07
2.71e-09	12.0	1.7710717954814574e-07
2.7199999999999997e-09	10.0	1.7843498139463763e-07
2.73e-09	7.0	1.8042668416437577e-07
2.7399999999999996e-09	13.0	1.7644327862489963e-07
2.75e-09	8.0	1.7976278324112974e-07
2.76e-09	9.0	1.7909888231788369e-07
2.7699999999999997e-09	8.0	1.7976278324112974e-07
2.78e-09	10.0	1.7843498139463763e-07
2.7899999999999997e-09	8.0	1.7976278324112974e-07
2.8e-09	10.0	1.7843498139463763e-07
2.81e-09	11.0	1.7777108047139163e-07
2.8199999999999998e-09	8.0	1.7976278324112974e-07
2.83e-09	5.0	1.817544860108678e-07
2.8399999999999997e-09	13.0	1.7644327862489963e-07
2.85e-09	6.0	1.810905850876218e-07
2.8599999999999996e-09	10.0	1.7843498139463763e-07
2.87e-09	8.0	1.7976278324112974e-07
2.88e-09	7.0	1.8042668416437577e-07
2.8899999999999997e-09	7.0	1.8042668416437577e-07
2.9e-09	8.0	1.7976278324112974e-07
2.9099999999999997e-09	10.0	1.7843498139463763e-07
2.92e-09	7.0	1.8042668416437577e-07
2.93e-09	8.0	1.7976278324112974e-07
2.9399999999999998e-09	9.0	1.7909888231788369e-07
2.95e-09	9.0	1.7909888231788369e-07
2.9599999999999997e-09	9.0	1.7909888231788369e-07
2.97e-09	10.0	1.7843498139463763e-07
2.9799999999999996e-09	11.0	1.7777108047139163e-07
2.99e-09	8.0	1.7976278324112974e-07
3e-09	7.0	1.8042668416437577e-07
3.0099999999999997e-09	7.0	1.8042668416437577e-07
3.02e-09	9.0	1.7909888231788369e-07
3.0299999999999997e-09	7.0	1.8042668416437577e-07
3.04e-09	10.0	1.7843498139463763e-07
3.05e-09	8.0	1.7976278324112974e-07
3.0599999999999998e-09	8.0	1.7976278324112974e-07
3.07e-09	11.0	1.7777108047139163e-07
3.0799999999999997e-09	10.0	1.7843498139463763e-07
3.09e-09	7.0	1.8042668416437577e-07
3.0999999999999996e-09	9.0	1.7909888231788369e-07
3.11e-09	4.0	1.8241838693411377e-07
3.12e-09	6.0	1.810905850876218e-07
3.1299999999999997e-09	14.0	1.757793777016536e-07
3.14e-09	9.0	1.7909888231788369e-07
3.1499999999999997e-09	7.0	1.8042668416437577e-07
3.16e-09	5.0	1.817544860108678e-07
3.17e-09	7.0	1.8042668416437577e-07
3.1799999999999998e-09	8.0	1.7976278324112974e-07
3.19e-09	13.0	1.7644327862489963e-07
3.1999999999999997e-09	7.0	1.8042668416437577e-07
3.21e-09	3.0	1.8308228785735974e-07
3.2199999999999996e-09	4.0	1.8241838693411377e-07
3.23e-09	9.0	1.7909888231788369e-07
3.24e-09	7.0	1.8042668416437577e-07
3.2499999999999997e-09	10.0	1.7843498139463763e-07
3.26e-09	8.0	1.7976278324112974e-07
3.2699999999999997e-09	12.0	1.7710717954814574e-07
3.28e-09	7.0	1.8042668416437577e-07
3.2899999999999996e-09	6.0	1.810905850876218e-07
3.2999999999999998e-09	10.0	1.7843498139463763e-07
3.31e-09	3.0	1.8308228785735974e-07
3.3199999999999997e-09	11.0	1.7777108047139163e-07
3.33e-09	9.0	1.7909888231788369e-07
3.3399999999999996e-09	11.0	1.7777108047139163e-07
3.35e-09	8.0	1.7976278324112974e-07
3.36e-09	5.0	1.817544860108678e-07
3.3699999999999997e-09	6.0	1.810905850876218e-07
3.38e-09	10.0	1.7843498139463763e-07
3.3899999999999997e-09	11.0	1.7777108047139163e-07
3.4e-09	5.0	1.817544860108678e-07
3.4099999999999996e-09	12.0	1.7710717954814574e-07
3.4199999999999998e-09	4.0	1.8241838693411377e-07
3.43e-09	9.0	1.7909888231788369e-07
3.4399999999999997e-09	6.0	1.810905850876218e-07
3.45e-09	5.0	1.817544860108678e-07
3.4599999999999996e-09	4.0	1.8241838693411377e-07
3.47e-09	7.0	1.8042668416437577e-07
3.48e-09	7.0	1.8042668416437577e-07
3.4899999999999997e-09	8.0	1.7976278324112974e-07
3.5e-09	5.0	1.817544860108678e-07
3.5099999999999997e-09	10.0	1.7843498139463763e-07
3.52e-09	8.0	1.7976278324112974e-07
3.5299999999999996e-09	7.0	1.8042668416437577e-07
3.5399999999999998e-09	2.0	1.8374618878060593e-07
3.55e-09	9.0	1.7909888231788369e-07
3.5599999999999997e-09	10.0	1.7843498139463763e-07
3.57e-09	11.0	1.7777108047139163e-07
